PlayerId,PlayerName
1852,Jansson Mattias
1853,Kroon Erik
1854,Danell Fredrik
1855,Sosnowski Mateusz
1856,Isaksson Jonas
1857,Bengtsson Ulf
1858,Barling Eva
1859,Lindqvist Patrik
1860,Brandt Asa
1861,Mansson Sandra
1863,Yanada Keisuke
1864,Ogura Katsutoshi
1865,Tsuji Shinji
1866,Yanada Kenji
1867,Takagi Hideo
1868,Nagata Koji
1869,Takahashi Hidekazu
1870,Ichikawa Yukinori
1871,Fukuyama Hiroki
1872,Takada Seiji
1873,Iwasaki Kazuo
1874,Baba Toshihiro
1875,Imaoka Tsukasa
1876,Yokoyama Tomosato
1877,Lim Chin Lee
1878,Bache Julien
1879,Szymanski Remigiusz
1880,Braun Holger
1881,Szyszko Lukasz
1882,Kraczyk Roman
1883,Nyambedha Erick Ot.
1884,Ramos Aleister
1885,Nishimiya Satoru
1886,Tanino Takumi
1887,Vo Hong Duc
1888,Nielsen Kim J.
1889,Lindholt Jonas
1890,van Brunschot Chant
1891,Tomei Robin
1892,Melis Andrea
1893,Arcudi Paolo
1894,Arcudi Andrea
1895,Palladino Domenico
1896,Rokven Daniel
1897,Yamabe Takahiro
1898,Watanabe Hajime
1899,Kinoshita Hiroko
1900,Tokumaru Go
1901,Salmon Charles
1902,Liguori Tommaso
1903,Busetto Claudia
1904,Bernier Frederic
1905,Bouclier Thibault
1906,Staigre Pascal
1907,Benoit Gael
1908,Cecillon Olivier
1909,Pointy Stone (kreu)
1910,Yamamura Yuuki
1911,Tasaka Hidenori
1912,Onuma Naofumi
1913,Jamet Patrick
1914,Lemoine Joane
1915,Saufnay Stephanie
1916,Yamakawa Takashi
1917,Cyrano (causse)
1918,Ohlsson Tomas
1919,Stenberg Veronica
1920,Aspden Andy
1921,Campbell Yvette
1922,Dyer Jeremy
1923,Aspenryd Henry
1924,Hallberg Marcus
1925,Huhtamaki Riku
1926,Praseptyo Linda
1927,Stokke Solrun
1928,Fransson Johnsson J
1929,Turunen Daniel
1930,Schrack Bernard
1931,Mogi Kazuo
1932,Ueda Yoshiyuki
1933,Thompson Greg
1934,Chlipalski Filip
1935,Vaes Dimitri
1936,Chiao Shawn
1937,Jensen Kim Dennis
1938,van der Wagt Jan
1939,Schafschnitz Andrea
1940,Salomons Roy
1941,Janssen Jeroen
1942,v/d Brandhof Marinu
1943,Zillig Remko
1944,Szyszko Krzysztof
1945,Tanski Piotr
1946,Gauthier Bruno
1947,Lecat Monique
1948,Bougeard Emmanuel
1949,Ghazaryan Samvel
1950,Rogosz Magdalena
1951,Sy Steven
1952,Sugiyama Toshio
1953,Maeno Keiichi
1954,Jung Taejoon
1955,Radzivilovsky Lev
1956,Ye Liya
1957,Luo Xialong
1958,Kwon Younghwa
1959,Berg Robert
1960,Jonsson Marie-Louis
1961,Moretti Chiara
1962,Zenato Matteo
1963,Uniti Marco
1964,Rossi Maria Teresa
1965,Trivellato Oliviero
1966,Borassi Michele
1967,Bergossi Vittorio
1968,Gornert Daniel
1969,Gayet Surya
1970,Dousse Stephane
1971,Schotte Tom
